class,n,top1_acc,top5_acc,mean_top1_conf,most_common_top1_pred,most_common_top1_pred_ratio
their,10,0.9,1.0,0.7114937663078308,their,0.9
accident,19,0.8947368421052632,0.9473684210526315,0.5872941872006968,accident,0.8947368421052632
me,9,0.8888888888888888,1.0,0.8057702879110972,me,0.8888888888888888
myself,9,0.8888888888888888,0.8888888888888888,0.8341404034031762,myself,0.8888888888888888
card,9,0.8888888888888888,1.0,0.7753452493084801,card,0.8888888888888888
blood,9,0.8888888888888888,1.0,0.8231226801872253,blood,0.8888888888888888
write,17,0.8823529411764706,1.0,0.813451299772543,write,0.8823529411764706
yesterday,17,0.8823529411764706,1.0,0.6728394154240104,yesterday,0.8823529411764706
room,17,0.8823529411764706,1.0,0.8017633574850419,room,0.8823529411764706
shoulder,8,0.875,0.875,0.8273114003241062,shoulder,0.875
soon,16,0.875,1.0,0.8098539244383574,soon,0.875
bad,16,0.875,0.9375,0.6694462094455957,bad,0.875
cold,16,0.875,1.0,0.8207789463922381,cold,0.875
evening,8,0.875,1.0,0.7575376629829407,evening,0.875
leave,16,0.875,0.9375,0.6924371561035514,leave,0.875
discuss,15,0.8666666666666667,1.0,0.8063026169935862,discuss,0.8666666666666667
children,15,0.8666666666666667,0.9333333333333333,0.8000455429156621,children,0.8666666666666667
baby,14,0.8571428571428571,1.0,0.7939805420381683,baby,0.8571428571428571
fire,7,0.8571428571428571,1.0,0.7429614918572562,fire,0.8571428571428571
wheelchair,7,0.8571428571428571,0.8571428571428571,0.8716372506959098,wheelchair,0.8571428571428571
audiology,7,0.8571428571428571,1.0,0.7367753386497498,audiology,0.8571428571428571
seldom,7,0.8571428571428571,0.8571428571428571,0.8785551360675267,seldom,0.8571428571428571
audiologist,7,0.8571428571428571,1.0,0.782180164541517,audiologist,0.8571428571428571
